Trait,chr,region,rsID,95g,AMR,EAS,SAS,EUR,AFR
Obesity-related_traits,8,96357406,rs2640806,0.410526,0.2939,0.0933,0.2812,0.4225,0.4569
Obesity-related_traits,12,60416871,rs2655898,0.315789,0.2493,0.3185,0.2342,0.2594,0.559
Obesity-related_traits,5,65051794,rs266590,0.484211,0.5331,0.2688,0.5194,0.6511,0.5061
Obesity-related_traits,2,188854236,rs2675399,0.2,0.2205,0.0506,0.1933,0.2525,0.2194
Asthma_(sex_interaction),6,165152406,rs2675724,0.652632,0.3847,0.5655,0.3436,0.2714,0.7557
Trans_fatty_acid_levels,3,53731636,rs2680664,1,0.938,1,0.8865,0.8688,0.9939
Obesity-related_traits,1,237192685,rs268786,1,0.9784,0.9276,0.8937,0.994,0.8268
Asthma_(childhood_onset),3,112550440,rs2705520,1,0.9914,0.9861,0.9867,0.9901,0.9554
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_2_peripheral_neuropathy),2,112906296,rs2708973,1,0.9856,1,1,0.999,0.8563
Trans_fatty_acid_levels,11,61835765,rs2727270,0.8,0.2622,0.4167,0.0613,0.1441,0.0061
Trans_fatty_acid_levels,11,61835886,rs2727271,0.8,0.2666,0.4167,0.0613,0.1441,0.0061
Obesity-related_traits,11,13069395,rs2727405,0.326316,0.3372,0.5238,0.4274,0.2813,0.4455
Obesity-related_traits,5,6879865,rs275437,0.557895,0.5101,0.3234,0.5583,0.6312,0.4312
Bronchopulmonary_dysplasia,6,147209945,rs2786189,0.547368,0.4957,0.7093,0.5358,0.5258,0.9236
Obesity-related_traits,10,58225910,rs2790232,0.0210526,0.0303,0.004,0.045,0.0199,0.2905
Obesity-related_traits,10,98824158,rs2801405,0.747368,0.6801,0.6052,0.8333,0.8121,0.8298
Obesity-related_traits,13,53716198,rs2806731,0.968421,0.8084,0.8095,0.8119,0.7793,0.4493
Trans_fatty_acid_levels,13,53069235,rs2806933,0.936842,0.6844,0.7679,0.6953,0.5984,0.6929
Trans_fatty_acid_levels,13,53071798,rs2806946,0.863158,0.6398,0.8135,0.7413,0.6133,0.829
Trans_fatty_acid_levels,13,53072003,rs2806949,0.568421,0.6167,0.8065,0.7117,0.6034,0.6301
Trans_fatty_acid_levels,13,53079721,rs2806971,0.905263,0.6988,0.8105,0.7352,0.6163,0.798
Trans_fatty_acid_levels,13,53085795,rs2806974,0.936842,0.7017,0.8065,0.7331,0.6163,0.7776
Cognitive_performance,9,124163828,rs2807580,0.442105,0.2233,0.127,0.1748,0.1859,0.2943
C-reactive_protein,1,159722783,rs2808634,0.978947,0.7997,0.8026,0.6769,0.7147,0.8707
Obesity-related_traits,10,61602229,rs2814021,0.989474,0.7954,0.5208,0.5481,0.7873,0.854
Obesity-related_traits,9,7195408,rs2820914,0.0526316,0.1801,0.2004,0.2832,0.2565,0.3245
Allergic_rhinitis_in_non-asthmatics,21,15089947,rs2823048,0.105263,0.1484,0.002,0.0859,0.2217,0.1936
Allergic_rhinitis_in_non-asthmatics,21,15092828,rs2823053,0.0842105,0.1787,0.0109,0.0951,0.2286,0.5189
Obesity-related_traits,21,16110813,rs2823615,0.105263,0.2291,0.0714,0.2863,0.3042,0.3949
Response_to_citalopram_treatment,21,27293028,rs2830840,0.410526,0.438,0.5694,0.4274,0.671,0.3298
Allergic_rhinitis_in_non-asthmatics,21,34753521,rs2834629,0.115789,0.0576,0.0704,0.0665,0.1024,0.1732
Immune_response_to_smallpox_vaccine_(IL-6),21,34866210,rs2834655,0.0947368,0.1916,0.126,0.2157,0.2773,0.3389
Obesity-related_traits,5,73952687,rs283610,0.705263,0.4164,0.4147,0.4918,0.4056,0.3729
Immune_response_to_smallpox_vaccine_(IL-6),21,38942780,rs2836770,0.557895,0.4222,0.6994,0.7975,0.496,0.6762
Obesity-related_traits,6,87667331,rs28381552,0.0105263,0.0432,0.0119,0.0174,0.0477,0.0053
Preeclampsia,21,42023389,rs2839440,0.305263,0.1628,0.2976,0.1166,0.1819,0.1566
Trans_fatty_acid_levels,11,61834436,rs2845573,0.673684,0.245,0.4028,0.0419,0.1024,0.0144
Obesity-related_traits,21,43067294,rs2851391,0.242105,0.4092,0.6736,0.5429,0.5537,0.7769
Trans_fatty_acid_levels,11,61848540,rs2851682,0.8,0.2522,0.4117,0.046,0.1064,0.003
Obesity-related_traits,7,18940644,rs2853552,0.936842,0.7075,0.7262,0.8211,0.7137,0.77
IgE_levels,6,32713500,rs2858331,0.515789,0.4798,0.4603,0.5685,0.4155,0.5174
Immune_response_to_smallpox_vaccine_(IL-6),10,95007177,rs2860975,0.221053,0.4424,0.4177,0.6738,0.6074,0.8064
Forced_vital_capacity,11,45229181,rs2863171,0.0526316,0.1412,0.001,0.1063,0.164,0.4032
Triglycerides,8,1425554,rs28680850,0.947368,0.4063,0.5228,0.453,0.2475,0.0416
Obesity-related_traits,11,34641414,rs286905,0.631579,0.7853,0.619,0.8528,0.8479,0.7231
Allergic_rhinitis,12,4566052,rs2884670,0.505263,0.464,0.7996,0.6933,0.6839,0.3374
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),5,57626258,rs2910490,0.6,0.4164,0.3194,0.544,0.4165,0.6384
Obesity-related_traits,5,176422988,rs2913737,0.284211,0.1816,0.1042,0.1922,0.2316,0.0756
Obesity-related_traits,10,120831861,rs2919009,0.0105263,0.1527,0.1022,0.2423,0.2237,0.2277
Obesity-related_traits,11,68789314,rs2924679,0.210526,0.0749,0.0794,0.0675,0.0189,0.1256
Obesity-related_traits,10,51482943,rs293314,0.968421,0.9409,0.998,0.9642,0.9225,0.7829
Obesity-related_traits,5,36900741,rs293748,0.168421,0.1383,0.3016,0.2853,0.1988,0.034
Cotinine_glucuronidation,4,68816753,rs294777,0.989474,0.9726,1,1,1,0.7186
Obesity-related_traits,9,10139580,rs294845,0.947368,0.8112,0.6131,0.8783,0.7833,0.6097
Obesity-related_traits,5,59801097,rs2963826,0.336842,0.3184,0.1806,0.2975,0.4543,0.1959
Cognitive_performance,8,30641342,rs2978263,0.663158,0.6427,0.5873,0.7822,0.8101,0.9024
Obsessive-compulsive_disorder,12,49925303,rs297941,0.347368,0.3545,0.5397,0.4387,0.4414,0.823
Intracerebral_hemorrhage,1,156227589,rs2984613,0.452632,0.3084,0.3294,0.3395,0.3489,0.236
Obesity-related_traits,1,79534963,rs3000140,0.0105263,0.0216,0.0427,0.0736,0.0199,0.2791
Obesity-related_traits,1,194561784,rs3001167,0.568421,0.2767,0.2788,0.2679,0.1252,0.6641
Serum_IgE_levels,16,27360263,rs3024667,0.0315789,0.9135,0.9008,0.9366,0.9394,0.3828
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),16,79580219,rs30388,0.315789,0.2983,0.0268,0.2689,0.4046,0.3124
Post-traumatic_stress_disorder,1,202191842,rs3100127,0.410526,0.3098,0.2341,0.3149,0.3996,0.2042
Obesity-related_traits,1,244413415,rs3102460,0.778947,0.6585,0.6944,0.7168,0.7555,0.6679
Glaucoma,19,51375780,rs3116139,0.894737,0.7032,0.7163,0.6411,0.7117,0.9818
Central_corneal_thickness,9,134544468,rs3118515,0.242105,0.3357,0.3948,0.5583,0.3012,0.2398
Obesity-related_traits,15,69054606,rs311904,0.957895,0.879,0.5863,0.9018,0.9573,0.4992
Prostate_cancer,10,46070851,rs3123078,1,0.6009,0.5377,0.408,0.5676,0.5295
Lumiracoxib-related_liver_injury,6,32338202,rs3129900,0.389474,0.8804,0.9038,0.9192,0.8579,0.7784
HIV-1_control,6,31175805,rs3131018,0.663158,0.6787,0.7192,0.7454,0.6243,0.6672
Obesity-related_traits,7,4434501,rs314590,0.747368,0.7824,0.7907,0.8149,0.9185,0.9244
Obesity-related_traits,1,84327290,rs315553,0.884211,0.7839,0.8492,0.8528,0.9453,0.5764
Immune_response_to_smallpox_vaccine_(IL-6),1,178173073,rs316274,0.0526316,0.2046,0.2579,0.228,0.3489,0.0431
Obesity-related_traits,5,149833893,rs32576,0.715789,0.3098,0.2857,0.3272,0.2187,0.4887
Triglycerides,8,19961928,rs326,0.273684,0.2867,0.2341,0.2157,0.327,0.5862
Obesity-related_traits,1,109896858,rs333960,1,0.8415,0.9772,0.8916,0.7773,0.6823
Obesity-related_traits,19,30452770,rs33436,0.757895,0.5461,0.3373,0.3303,0.6481,0.5514
Cotinine_glucuronidation,19,43429573,rs34705275,0.452632,0.196,0.6062,0.3149,0.0497,0.1831
Obesity-related_traits,13,97551473,rs349114,0.452632,0.2089,0.2163,0.135,0.1829,0.0681
Bone_mineral_density,1,22373858,rs34920465,0.0315789,0.1527,0.2331,0.2127,0.165,0.4992
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),8,18000788,rs34975555,0.115789,0.1311,0.3681,0.1125,0.1372,0.025
Obesity-related_traits,5,71539065,rs35131626,0.105263,0.0389,0.0169,0.0838,0.0328,0.0053
Obesity-related_traits,13,69449553,rs352236,0.989474,0.9942,1,1,1,0.9493
Obesity-related_traits,15,24496144,rs35600665,0.105263,0.1628,0.1617,0.1759,0.2674,0.0613
Obesity-related_traits,11,831883,rs35694355,0.0105263,0.0086,0,0,0,0.0983
Response_to_amphetamines,8,93903875,rs35820208,0.0105263,0.072,0,0.0501,0.0835,0.0408
Obesity-related_traits,2,218964484,rs359980,0.0210526,0.0764,0.1548,0.2648,0.0616,0.1657
Trans_fatty_acid_levels,4,151864209,rs361171,0.2,0.3991,0.1071,0.3476,0.5398,0.1513
Trans_fatty_acid_levels,2,201196097,rs3731714,0.284211,0.2478,0.1756,0.2198,0.2932,0.0083
Obesity-related_traits,4,186236880,rs3733402,0.905263,0.5893,0.6825,0.3885,0.5229,0.7753
Obesity-related_traits,4,164957183,rs3733418,0.557895,0.1671,0.6488,0.3937,0.16,0.0598
Obesity-related_traits,1,184708330,rs3736757,0.705263,0.5101,0.7004,0.6125,0.4761,0.8525
Obesity-related_traits,10,124605598,rs3740540,0.0210526,0.2493,0.2004,0.2751,0.2982,0.0545
Obesity-related_traits,11,116786845,rs3741298,0.421053,0.572,0.5913,0.6667,0.7654,0.6339
Obesity-related_traits,5,141303324,rs3749779,0.515789,0.1081,0.0942,0.0419,0.004,0.0023
Glucose_homeostasis_traits,6,17283090,rs3749855,0.0105263,0.0432,0.1687,0.0613,0.0736,0.0189
Obesity-related_traits,16,3728336,rs3751845,0.0315789,0.0187,0.1339,0.138,0.004,0.0688
Fractional_exhaled_nitric_oxide_(childhood),17,27879388,rs3751972,0.936842,0.8069,0.5179,0.8078,0.7575,0.9856
Obesity-related_traits,2,70470535,rs3771514,0.8,0.33,0.1706,0.2065,0.2276,0.3714
Body_mass_index_in_asthmatics,9,19579429,rs3780215,0.336842,0.219,0.3333,0.1524,0.2058,0.4924
Obesity-related_traits,14,54881400,rs3783637,0.326316,0.1542,0.4236,0.2689,0.0875,0.1044
Response_to_amphetamines,16,83678830,rs3784943,0.357895,0.2435,0.3373,0.3016,0.2018,0.2458
Cognitive_performance,16,83723723,rs3784962,0.505263,0.3746,0.3165,0.4325,0.4254,0.3222
Glucose_homeostasis_traits,1,26558373,rs3790645,0.8,0.3559,0.756,0.593,0.2883,0.4531
Obesity-related_traits,6,1918028,rs3800131,0.778947,0.6671,0.8343,0.7546,0.6292,0.5182
Fractional_exhaled_nitric_oxide_(childhood),9,130658892,rs3802344,0.178947,0.0735,0.0258,0.1217,0.0656,0.053
Breast_cancer,16,52552429,rs3803662,0.821053,0.6095,0.381,0.727,0.7087,0.4327
Obesity-related_traits,21,40621781,rs3804024,0.0421053,0.036,0.1349,0.184,0.0676,0.1566
Immune_response_to_smallpox_vaccine_(IL-6),3,3088961,rs3804795,0.0526316,0.0692,0.2421,0.3098,0.0825,0.0045
Glucose_homeostasis_traits,9,136380752,rs3812570,0.926316,0.6066,0.3214,0.3988,0.4165,0.3858
Obesity-related_traits,8,141150965,rs3816063,0.336842,0.2378,0.1994,0.2689,0.3767,0.2504
Obesity-related_traits,9,122144444,rs3818638,0.863158,0.7118,0.3849,0.684,0.7555,0.8419
Obesity-related_traits,4,6696039,rs3822262,0.473684,0.3386,0.6429,0.3487,0.2475,0.2534
Acute_lymphoblastic_leukemia_(adolescents_and_young_adults),10,8062245,rs3824662,0.831579,0.3646,0.2688,0.1656,0.1928,0.0764
Obesity-related_traits,10,97040342,rs3824789,0.410526,0.2651,0.1796,0.2975,0.328,0.4992
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_1_peripheral_neuropathy),19,46297176,rs3826795,0.547368,0.3069,0.4494,0.3374,0.2286,0.1165
Response_to_amphetamines,12,14507250,rs3827886,0.115789,0.1009,0.0942,0.2229,0.1352,0.0174
Obesity-related_traits,9,135136831,rs3849221,0.842105,0.6542,0.5188,0.6534,0.7068,0.27
Obesity-related_traits,7,77109274,rs3864639,0.831579,0.8847,0.7847,0.7403,0.7922,0.9637
Response_to_amphetamines,15,61410580,rs3884558,0.252632,0.5922,0.3839,0.8027,0.9016,0.8132
Cholesterol_total,1,109276674,rs3902354,0.905263,0.6772,0.9514,0.7239,0.663,0.1278
Bone_mineral_density,10,28191013,rs3905706,0.926316,0.3847,0.4315,0.2004,0.171,0.6694
Obesity-related_traits,3,42867668,rs3919627,0.989474,0.5793,0.6766,0.4254,0.3986,0.2231
Obesity-related_traits,1,104056319,rs3934285,0.115789,0.2233,0.1954,0.1104,0.333,0.0877
Obesity-related_traits,12,51333812,rs3951439,1,0.987,1,1,0.999,0.8419
Obesity-related_traits,5,25841504,rs396045,0.273684,0.2824,0.255,0.3303,0.3797,0.1399
Obesity-related_traits,10,113755361,rs3981351,0.894737,0.7507,0.5774,0.7515,0.7604,0.6498
Obesity-related_traits,5,114513597,rs400028,0.894737,0.8458,0.8204,0.7331,0.7157,0.7383
Obesity-related_traits,14,58899597,rs405460,0.673684,0.4568,0.7004,0.3824,0.4085,0.1188
Obesity-related_traits,8,141726333,rs4072286,0.863158,0.5375,0.5486,0.2055,0.3738,0.6089
Carotid_plaque_burden_(smoking_interaction),1,231036535,rs4074493,0.694737,0.4438,0.5417,0.408,0.3201,0.4281
Obesity-related_traits,16,86334920,rs4083242,0.578947,0.4467,0.5546,0.3415,0.4742,0.0265
Fibrinogen,1,154453788,rs4129267,0.873684,0.536,0.3224,0.2996,0.3598,0.09
Nicotine_glucouronidation,7,96505669,rs4132568,0.968421,0.5807,0.7004,0.5767,0.5189,0.3169
Cognitive_performance,18,29096708,rs4145170,0.810526,0.745,0.5575,0.6605,0.7465,0.6218
Methotrexate_clearance_(acute_lymphoblastic_leukemia),12,21224625,rs4149080,0.263158,0.1715,0.4534,0.0818,0.1899,0.1861
Obesity-related_traits,15,89073850,rs420017,0.105263,0.3617,0.2698,0.5685,0.5626,0.171
Trans_fatty_acid_levels,11,61872016,rs422249,1,0.7579,0.9137,0.8098,0.6441,0.6369
Glucose_homeostasis_traits,2,37127006,rs4233921,0.315789,0.304,0.5903,0.3855,0.335,0.2882
Forced_vital_capacity,11,43626818,rs4237643,0.926316,0.755,0.8036,0.6871,0.661,0.6172
Prostate_cancer,8,127506309,rs4242384,1,0.9207,0.8661,0.8661,0.8986,0.8411
LDL_cholesterol,2,43847292,rs4245791,1,0.8026,0.996,0.7935,0.6899,0.8933
Obesity-related_traits,8,10494798,rs4281086,0.431579,0.6715,0.6746,0.6922,0.6083,0.6936
Cotinine_glucuronidation,11,16538083,rs4287304,0.989474,0.9928,1,1,1,0.8616
Obesity-related_traits,1,159492591,rs4325129,0.315789,0.1772,0.0883,0.1339,0.2078,0.028
Obesity-related_traits,5,9474834,rs433755,0.568421,0.5288,0.131,0.4284,0.5557,0.5257
Fibrinogen,14,68847342,rs434943,0.547368,0.304,0.1617,0.2791,0.331,0.1483
Obesity-related_traits,4,69106745,rs4356975,0.463158,0.3473,0.6806,0.4325,0.3598,0.4735
Triglycerides,8,125511281,rs4360309,1,0.7608,0.9901,0.8466,0.4911,0.9713
Response_to_amphetamines,1,209160872,rs4382726,0.0631579,0.5504,0.7946,0.5297,0.6362,0.4879
Cognitive_performance,8,89329957,rs4397449,1,0.9986,0.9196,0.9796,0.999,0.9705
Obesity-related_traits,9,7558261,rs4400445,0.105263,0.1282,0.0962,0.1237,0.1799,0.1566
HIV-1_control,6,31423624,rs4418214,0.0105263,0.0418,0.0655,0.1176,0.0934,0.0635
Bone_mineral_density,8,119001037,rs4424296,0.705263,0.4625,0.621,0.6933,0.5199,0.848
Immune_response_to_smallpox_vaccine_(IL-6),8,33707860,rs4469412,0.0421053,0.0447,0.1736,0.045,0.0487,0.0023
Fractional_exhaled_nitric_oxide_(childhood),1,176454004,rs4471226,0.989474,0.8991,0.9157,0.7832,0.9264,0.5446
Response_to_amphetamines,4,4702287,rs4476553,0.652632,0.5072,0.5615,0.4243,0.5328,0.7935
Cognitive_performance,15,67906573,rs448720,0.926316,0.5043,0.756,0.6636,0.4583,0.3003
Obesity-related_traits,7,49594206,rs4492324,0.252632,0.2608,0.1538,0.1922,0.3996,0.0242
Post-traumatic_stress_disorder,1,202180311,rs4511180,0.926316,0.6859,0.7639,0.6912,0.6004,0.7678
Trans_fatty_acid_levels,1,187712492,rs4521954,0.884211,0.6671,0.2073,0.456,0.6849,0.4909
Obesity-related_traits,16,19948998,rs4527026,0.0210526,0.0173,0.0694,0.0061,0,0.0008
Body_mass_index_(interaction),7,148203924,rs4549702,0.263158,0.3444,0.5109,0.6033,0.3926,0.3828
Fasting_plasma_glucose,7,44196069,rs4607517,0.305263,0.183,0.1915,0.1268,0.1759,0.0734
Obesity-related_traits,4,38463850,rs4615179,0.105263,0.1124,0.0744,0.1166,0.1412,0.2322
Obesity-related_traits,2,40435406,rs4629203,0.778947,0.3991,0.6498,0.4826,0.2346,0.4002
Bronchopulmonary_dysplasia,10,20145851,rs4634985,0.894737,0.7046,0.5149,0.5777,0.7753,0.1831
Cognitive_performance,2,315215,rs4643574,1,0.902,0.5228,0.8108,0.9145,0.8169
Glucose_homeostasis_traits,1,69219314,rs4650135,0.252632,0.1513,0.3254,0.228,0.1829,0.3737
Obesity-related_traits,1,183297047,rs4652795,0.821053,0.6081,0.5169,0.456,0.6292,0.3101
Asthma_(childhood_onset),1,244347874,rs4658627,0.0526316,0.2205,0.0556,0.2342,0.2773,0.1634
Triglycerides,2,27375230,rs4665972,0.915789,0.6427,0.5109,0.7812,0.5845,0.972
Asthma_(sex_interaction),2,212325005,rs4673659,0.757895,0.6643,0.7659,0.6227,0.7714,0.525
Obesity-related_traits,4,83800661,rs4693646,0.894737,0.5476,0.751,0.6575,0.5308,0.0726
Obesity-related_traits,5,7155499,rs4702435,0.947368,0.8833,0.8145,0.7628,0.9006,0.829
Obesity-related_traits,5,10670928,rs4702718,0.494737,0.3055,0.4633,0.4162,0.3022,0.4652
Response_to_amphetamines,5,75184463,rs4704187,0.705263,0.5778,0.7024,0.6227,0.504,0.9735
Response_to_amphetamines,6,67471804,rs4710654,0.473684,0.4135,0.1627,0.3814,0.4076,0.6051
Allergic_rhinitis,6,10906023,rs4713039,0.126316,0.1066,0.377,0.3006,0.1879,0.034
Prostate_cancer,6,11218797,rs4713266,0.968421,0.5749,0.7609,0.636,0.4891,0.1626
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_1_peripheral_neuropathy),7,26143746,rs4722585,0.210526,0.3343,0.5972,0.6166,0.5249,0.2663
Response_to_amphetamines,5,6635478,rs472402,0.305263,0.6585,0.375,0.4039,0.5358,0.5325
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),7,153359535,rs4726279,0.431579,0.2464,0.3879,0.2751,0.2594,0.2216
Response_to_amphetamines,8,26861363,rs4732957,0.726316,0.6254,0.7778,0.7832,0.7803,0.348
Glycemic_traits_(pregnancy),10,69223185,rs4746822,0.694737,0.5159,0.2401,0.5491,0.664,0.4251
Immune_response_to_smallpox_vaccine_(IL-6),10,6564579,rs4748153,0.0105263,0.0807,0.006,0.0828,0.1093,0.1051
Obesity-related_traits,10,25873837,rs4749080,0.631579,0.2147,0.2669,0.1564,0.1203,0.0401
Obesity-related_traits,10,8591898,rs4749791,0.810526,0.4135,0.3968,0.5348,0.2475,0.466
Obesity-related_traits,10,12393380,rs4750211,0.168421,0.3026,0.2391,0.1779,0.2455,0.0424
Cotinine_glucuronidation,10,14591025,rs4750535,0.736842,0.9914,0.999,1,0.999,0.8449
Obesity-related_traits,10,130748997,rs4750829,0.0526316,0.8617,0.9345,0.9407,0.9493,0.8101
Cognitive_performance,10,114379270,rs4751674,0.978947,0.8084,0.8264,0.8098,0.7256,0.6051
Obesity-related_traits,13,20519465,rs4770049,0.515789,0.9294,1,0.9724,0.9742,0.4614
Obesity-related_traits,13,97401538,rs4771996,0.936842,0.7925,0.75,0.818,0.8171,0.9123
Cognitive_performance,15,58343384,rs4775031,0.694737,0.2464,0.2361,0.0849,0.1491,0.09
Trans_fatty_acid_levels,15,33660889,rs4780141,0.852632,0.9366,0.9256,0.9458,0.9622,0.6112
Trans_fatty_acid_levels,15,33662451,rs4780144,1,0.9207,0.9246,0.9448,0.9622,0.556
Breast_cancer,16,52565276,rs4784227,0.6,0.3127,0.255,0.2219,0.2545,0.0416
Obesity-related_traits,16,6098029,rs4786816,0.957895,0.7248,0.5615,0.7382,0.6103,0.9455
Obesity-related_traits,11,134269886,rs478881,0.989474,0.8069,0.628,0.6871,0.7217,0.7496
Response_to_amphetamines,18,28193052,rs4800843,0.610526,0.5187,0.5367,0.6022,0.6223,0.1551
Obesity-related_traits,20,23288000,rs4815191,0.978947,0.7853,0.8502,0.8569,0.66,0.9516
Preeclampsia,20,5968888,rs4815879,0.0842105,0.0331,0.0972,0.0716,0.0934,0.0091
Fibrinogen,21,39093586,rs4817986,0.610526,0.2997,0.1746,0.2536,0.2575,0.0991
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),5,138446426,rs4835796,0.589474,0.4755,0.7837,0.5951,0.5736,0.5257
Obesity-related_traits,12,98940751,rs483610,0.842105,0.6182,0.5784,0.5665,0.7475,0.2065
Glycemic_traits_(pregnancy),8,9326086,rs4841132,0.894737,0.8012,0.9881,0.908,0.9264,0.8843
Obesity-related_traits,8,10605296,rs4841398,0.989474,0.8487,0.5625,0.8701,0.8867,0.7716
Asthma,1,152520083,rs4845783,0.357895,0.83,0.753,0.7464,0.7167,0.9599
Schizophrenia,1,11728507,rs4846033,0.989474,0.9726,0.9653,0.9867,0.9901,0.8336
Glucose_homeostasis_traits,6,106286533,rs484621,0.947368,0.6671,0.5119,0.545,0.4831,0.8041
Obesity-related_traits,2,239824024,rs4852140,0.736842,0.6744,0.4782,0.6309,0.7903,0.7799
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),6,150423701,rs4869908,0.642105,0.3458,0.5,0.408,0.2823,0.3411
Obesity-related_traits,8,126889758,rs4871750,0.547368,0.3934,0.4663,0.4571,0.4811,0.2814
Waist-to-hip_circumference_ratio_(interaction),9,84571490,rs4877280,0.715789,0.402,0.4196,0.3978,0.2416,0.4818
Bronchopulmonary_dysplasia,13,73859670,rs4883955,0.915789,0.6801,0.7272,0.6442,0.7217,0.525
Trans_fatty_acid_levels,4,151861726,rs488400,0.210526,0.3156,0.1141,0.3129,0.3827,0.1256
Glucose_homeostasis_traits,15,73754322,rs4887140,0.705263,0.8429,0.7669,0.8395,0.9294,0.7852
Obesity-related_traits,16,77749683,rs4888671,0.305263,0.1282,0.0873,0.1084,0.0835,0.2209
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_1_peripheral_neuropathy),14,77954715,rs4899685,0.747368,0.3199,0.2877,0.2515,0.2744,0.0378
Response_to_amphetamines,7,158344294,rs4909189,0.0105263,0.2003,0.2034,0.1329,0.2684,0.4977
Glucose_homeostasis_traits,8,17138926,rs4922265,0.821053,0.5,0.9196,0.4796,0.3867,0.5333
Obesity-related_traits,20,61939168,rs4925325,0.536842,0.2925,0.3522,0.3701,0.2416,0.1256
Obesity-related_traits,12,31997309,rs4931594,0.6,0.2248,0.1478,0.184,0.2097,0.0318
Obesity-related_traits,18,52666026,rs4940203,0.431579,0.3573,0.4187,0.2843,0.4264,0.3056
Obesity-related_traits,13,110276815,rs494558,0.968421,0.9179,0.7708,0.8947,0.9901,0.6808
Immune_response_to_smallpox_vaccine_(IL-6),3,55001847,rs4955826,0.852632,0.3718,0.3472,0.2914,0.328,0.5832
Asparaginase_hypersensitivity_in_acute_lymphoblastic_leukemia,5,153790814,rs4958351,0.0421053,0.2104,0.0327,0.4376,0.3608,0.2451
Obesity-related_traits,5,150243802,rs4958456,0.231579,0.1009,0.3413,0.2832,0.1382,0.1014
Antipsychotic-induced_QTc_interval_prolongation,6,3359103,rs4959235,0.947368,0.8415,1,0.9898,0.9354,0.9947
Body_mass_index_(interaction),17,73004801,rs4969049,0.294737,0.1527,0.2153,0.1166,0.1571,0.2534
Obesity-related_traits,2,175869870,rs4972489,0.821053,0.3415,0.2609,0.1176,0.2177,0.0068
Acute_lymphoblastic_leukemia_(childhood),14,23116124,rs4982731,0.757895,0.6182,0.8522,0.5971,0.7167,0.5832
Spontaneous_preterm_birth_(preterm_delivery),9,3943125,rs501631,0.463158,0.3689,0.246,0.3282,0.3479,0.8411
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_2_peripheral_neuropathy),20,945754,rs502716,0.147368,0.2493,0.2996,0.2843,0.3936,0.1331
Trans_fatty_acid_levels,11,61781087,rs509360,1,0.7939,0.5744,0.2434,0.7058,0.0817
Glucose_homeostasis_traits,11,66287352,rs510398,1,0.9928,1,1,1,0.9554
Obesity-related_traits,19,48702915,rs516246,0.0736842,0.3415,0.004,0.2812,0.4414,0.4887
Cognitive_performance,8,101932635,rs517811,0.852632,0.6023,0.4742,0.6503,0.6074,0.6278
Glucose_homeostasis_traits,3,187898074,rs523079,0.0526316,0.0865,0.25,0.1554,0.1163,0.1747
Bone_mineral_density,11,68427636,rs525592,0.326316,0.2824,0.2728,0.1687,0.3052,0.5628
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),6,154131402,rs538174,0.136842,0.17,0.0694,0.1299,0.2187,0.0499
Trans_fatty_acid_levels,9,27152726,rs538679,0.473684,0.4841,0.3452,0.5481,0.4006,0.5386
Acute_lymphoblastic_leukemia_(childhood),1,66296783,rs546784,0.147368,0.2867,0.1647,0.3599,0.5646,0.1505
Obesity-related_traits,12,62787036,rs549433,0.178947,0.2061,0.3363,0.4571,0.2634,0.5386
Response_to_amphetamines,18,58143501,rs549476,0.210526,0.3271,0.2282,0.2975,0.4712,0.4607
Bronchopulmonary_dysplasia,6,147228161,rs556493,0.547368,0.4467,0.6954,0.5307,0.495,0.7436
Response_to_amphetamines,12,55676884,rs55874825,0.473684,0.2709,0.3611,0.3067,0.2505,0.2095
Glycemic_traits_(pregnancy),2,168906638,rs560887,1,0.8127,0.9782,0.8988,0.7008,0.9894
Prostate_cancer,7,47397647,rs56232506,0.873684,0.5476,0.4226,0.4489,0.4801,0.0431
Obesity-related_traits,19,39359149,rs562638,0.0315789,0.1326,0.0853,0.1012,0.1213,0.8177
Response_to_amphetamines,1,33708220,rs564148,1,0.951,0.8869,0.907,0.8449,0.9841
Hip_circumference_(psychosocial_stress_interaction),1,228397861,rs564309,0.0105263,0.0418,0.3056,0.1411,0.0964,0.1354
Obesity-related_traits,9,132469020,rs569434,0.526316,0.7032,0.874,0.5992,0.6044,0.2874
Obesity-related_traits,13,34328955,rs571411,1,0.9741,0.9425,0.9387,0.9722,0.8109
